edgeLength; RepulsionStrength; nodesOverlapping; Area; EdgeCrossings; MultiLevelScaling; SmartRepulsionRange; SmartEdgeLength; CountNodes; CountEdges; CountMaxDepth; CountAvgDepth; CountAvgDensity;
edgeLength; RepulsionStrength; nodesOverlapping; Area; EdgeCrossings; MultiLevelScaling; SmartRepulsionRange; SmartEdgeLength; CountNodes; CountEdges; CountMaxDepth; CountAvgDepth; CountAvgDensity;
edgeLength; RepulsionStrength; nodesOverlapping; Area; EdgeCrossings; MultiLevelScaling; SmartRepulsionRange; SmartEdgeLength; CountNodes; CountEdges; CountMaxDepth; CountAvgDepth; CountAvgDensity;
2;1;0;985;2;0;1;1;25;18;4;2;2;
2;1;0;950;2;1;0;1;25;18;4;2;2;
2;2;0;960;2;0;0;1;25;18;4;2;2;
2;2;0;961;2;1;0;1;25;18;4;2;2;
2;3;0;1004;2;1;0;0;25;18;4;2;2;
2;3;0;1078;2;1;0;1;25;18;4;2;2;
2;4;0;1169;2;0;1;1;25;18;4;2;2;
2;9;0;1994;4;0;0;1;25;18;4;2;2;
2;9;0;1720;2;1;0;1;25;18;4;2;2;
3;1;0;1082;2;0;0;0;25;18;4;2;2;
3;1;0;1035;2;1;1;0;25;18;4;2;2;
3;2;0;1108;2;0;0;0;25;18;4;2;2;
3;2;0;1174;2;0;0;1;25;18;4;2;2;
3;2;0;1125;2;0;1;0;25;18;4;2;2;
3;3;0;1246;2;0;0;1;25;18;4;2;2;
3;3;0;1189;2;1;0;1;25;18;4;2;2;
3;4;0;1336;2;0;0;0;25;18;4;2;2;
3;4;0;1519;2;0;1;1;25;18;4;2;2;
3;4;0;1463;4;1;1;1;25;18;4;2;2;
3;5;0;1560;2;0;0;1;25;18;4;2;2;
3;5;0;1377;2;0;1;0;25;18;4;2;2;
3;5;0;1489;2;1;0;1;25;18;4;2;2;
3;6;0;1468;2;0;1;1;25;18;4;2;2;
3;6;0;1603;2;1;0;1;25;18;4;2;2;
3;6;0;1564;2;1;1;0;25;18;4;2;2;
3;7;0;1733;2;0;0;0;25;18;4;2;2;
3;7;0;1239;2;1;1;0;25;18;4;2;2;
3;7;0;1542;2;1;1;1;25;18;4;2;2;
3;8;0;1863;2;0;1;1;25;18;4;2;2;
3;8;0;1365;4;1;1;1;25;18;4;2;2;
3;9;0;1766;2;0;0;1;25;18;4;2;2;
3;9;0;2030;2;1;0;1;25;18;4;2;2;
4;1;0;1229;2;0;0;0;25;18;4;2;2;
4;1;0;1181;2;0;1;0;25;18;4;2;2;
4;1;0;1198;2;1;0;0;25;18;4;2;2;
4;2;0;1155;2;0;0;0;25;18;4;2;2;
4;2;0;1368;2;0;1;1;25;18;4;2;2;
4;2;0;1417;2;1;0;1;25;18;4;2;2;
4;2;0;1361;2;1;1;0;25;18;4;2;2;
4;2;0;1548;2;1;1;1;25;18;4;2;2;
4;3;0;1405;4;0;0;1;25;18;4;2;2;
4;3;0;1309;2;1;0;0;25;18;4;2;2;
4;4;0;1517;2;0;0;0;25;18;4;2;2;
4;4;0;1573;2;1;0;0;25;18;4;2;2;
4;4;0;1501;2;1;1;0;25;18;4;2;2;
4;5;0;1710;2;0;0;0;25;18;4;2;2;
4;5;0;1807;2;0;1;0;25;18;4;2;2;
4;5;0;1710;2;1;0;0;25;18;4;2;2;
4;5;0;1519;2;1;0;1;25;18;4;2;2;
4;5;0;1807;2;1;1;0;25;18;4;2;2;
4;6;0;1708;2;0;0;0;25;18;4;2;2;
4;6;0;1686;2;0;1;0;25;18;4;2;2;
4;6;0;1665;2;1;0;0;25;18;4;2;2;
4;6;0;1798;2;1;0;1;25;18;4;2;2;
4;7;0;1722;2;0;0;0;25;18;4;2;2;
4;7;0;1718;2;1;0;0;25;18;4;2;2;
4;8;0;1845;2;0;0;0;25;18;4;2;2;
4;8;0;1806;2;0;0;1;25;18;4;2;2;
4;8;0;1763;2;0;1;1;25;18;4;2;2;
4;8;0;1854;2;1;0;0;25;18;4;2;2;
4;9;0;1753;2;0;1;1;25;18;4;2;2;
4;9;0;1877;2;1;0;0;25;18;4;2;2;
4;9;0;1838;2;1;0;1;25;18;4;2;2;
5;1;0;1048;6;1;0;1;25;18;4;2;2;
5;1;0;1938;4;1;1;1;25;18;4;2;2;
5;2;0;1350;4;0;0;0;25;18;4;2;2;
5;2;0;1850;2;0;1;1;25;18;4;2;2;
5;2;0;1285;4;1;0;1;25;18;4;2;2;
5;3;0;1614;6;0;0;1;25;18;4;2;2;
5;3;0;1618;2;0;1;0;25;18;4;2;2;
5;3;0;1462;4;1;0;1;25;18;4;2;2;
5;3;0;1789;2;1;1;0;25;18;4;2;2;
5;4;0;1536;2;0;0;0;25;18;4;2;2;
5;4;0;1633;2;0;1;0;25;18;4;2;2;
5;4;0;1523;2;1;0;0;25;18;4;2;2;
5;5;0;1684;2;0;0;0;25;18;4;2;2;
5;5;0;1694;4;0;0;1;25;18;4;2;2;
5;5;0;1667;2;1;0;0;25;18;4;2;2;
5;5;0;1606;4;1;0;1;25;18;4;2;2;
5;5;0;1650;2;1;1;0;25;18;4;2;2;
5;6;0;1713;2;0;0;0;25;18;4;2;2;
5;6;0;1646;4;0;1;1;25;18;4;2;2;
5;6;0;1753;2;1;0;0;25;18;4;2;2;
5;6;0;1810;2;1;0;1;25;18;4;2;2;
5;7;0;1789;2;0;0;0;25;18;4;2;2;
5;7;0;1861;2;1;0;0;25;18;4;2;2;
5;7;0;1789;2;1;0;1;25;18;4;2;2;
5;7;0;2111;2;1;1;0;25;18;4;2;2;
