ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0
streamex-root;0;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3570;335;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;2549;881;1;0
src\test\java\javax\util\streamex\StreamExTest.java;5800;419;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;2371;143;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2499;848;1;0
src\main\java\javax\util\streamex\PairSpliterator.java;1382;258;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;3885;236;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;2180;139;0;0
src\main\java\javax\util\streamex\StreamEx.java;2557;977;1;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;2278;677;1;0
src\main\java\javax\util\streamex\StreamFactory.java;2994;547;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;3529;1370;1;0
src\test\java\javax\util\streamex\CustomPoolTest.java;2583;141;0;0
src\main\java\javax\util\streamex\EntryStream.java;2454;638;1;0
