ID;Number_Of_Tokens;Metric.Architecture_Violations;Metric.Clone;Metric.Dead_Code;Metric.Cycle;Metric.Metric;Metric.Style;Metric.Universal;Metric.Complexity
net/6lowpan/core.c;726;0.0065035659238954;0.00602408076719519;0.00495089615642657;0.00702285908008347;0.00552129978998578;0.00425898098000882;0.00675179776944262;0.00335919976743024
net/6lowpan/debugfs.c;1630;0;0;0;0;0;0;0;0
net/6lowpan/iphc.c;5931;0;0;0;0;0;0;0;0
net/6lowpan/ndisc.c;950;0;0;0;0;0;0;0;0
net/6lowpan/nhc.c;940;0;0;0;0;0;0;0;0
net/6lowpan/nhc_dest.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_fragment.c;74;0.000102383904138418;0.000132800669097245;0.000200879531616815;0.0;0.000164695234749268;0.000244772071351281;0.0;0.000301850863624468
net/6lowpan/nhc_ghc_ext_dest.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_ghc_ext_frag.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_ghc_ext_hop.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_ghc_ext_route.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_ghc_icmpv6.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_ghc_udp.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_hop.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_ipv6.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_mobility.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_routing.c;74;0;0;0;0;0;0;0;0
net/6lowpan/nhc_udp.c;942;0;0;0;0;0;0;0;0
net/802/fc.c;364;0;0;0;0;0;0;0;0
net/802/fddi.c;571;0;0;0;0;0;0;0;0
net/802/garp.c;3712;0;0;0;0;0;0;0;0
net/802/hippi.c;612;0;0;0;0;0;0;0;0
net/802/mrp.c;4713;0;0;0;0;0;0;0;0
net/802/p8022.c;215;0;0;0;0;0;0;0;0
net/802/p8023.c;145;0;0;0;0;0;0;0;0
net/802/psnap.c;558;0;0;0;0;0;0;0;0
net/802/stp.c;435;0;0;0;0;0;0;0;0
net/8021q/vlan.c;3370;0;0;0;0;0;0;0;0
net/8021q/vlan_core.c;1873;0;0;0;0;0;0;0;0
net/8021q/vlan_dev.c;3933;0;0;0;0;0;0;0;0
net/8021q/vlan_gvrp.c;250;0;0;0;0;0;0;0;0
net/8021q/vlan_mvrp.c;265;0;0;0;0;0;0;0;0
net/8021q/vlan_netlink.c;1524;0;0;0;0;0;0;0;0
net/8021q/vlanproc.c;1137;0;0;0;0;0;0;0;0
net/9p/client.c;10769;0;0;0;0;0;0;0;0
net/9p/error.c;1041;0;0;0;0;0;0;0;0
net/9p/mod.c;542;0;0;0;0;0;0;0;0
net/9p/protocol.c;3043;0;0;0;0;0;0;0;0
net/9p/trans_common.c;54;0;0;0;0;0;0;0;0
net/9p/trans_fd.c;5124;0;0;0;0;0;0;0;0
net/9p/trans_rdma.c;3086;0;0;0;0;0;0;0;0
net/9p/trans_virtio.c;3100;0;0;0;0;0;0;0;0
