ID;Metric.Number_Of_Parameters;Metric.Number_Of_Called_Routines;Metric.Number_Of_Calling_Routines;Metric.Number_Of_Statements;Metric.Number_Of_Returns;Metric.Number_Of_Gotos;Metric.Number_Of_Invocations;Metric.McCabe_Complexity;Metric.Extended_McCabe;Metric.Switch_Complexity;Metric.Maximum_Nesting;Metric.Maximum_Extended_Nesting;Metric.LOC;Metric.NPath;Metric.LogNPath_Floor;Metric.LogNPath_Ceiling;Metric.Comment.Preceding;Metric.Lines.LOC;Metric.Lines.Empty;Metric.Lines.Code;Metric.Lines.Comment;Metric.Lines.Only_Comment;Metric.Lines.Preproc;Metric.Lines.PP_If;Metric.Lines.PP_Elif;Metric.Lines.PP_Else;Metric.Lines.PP_Endif;Metric.Lines.PP_Define;Metric.Lines.PP_Undef;Metric.Lines.PP_Pragma;Metric.Lines.PP_Line;Metric.Lines.PP_Error;Metric.Lines.PP_Warning;Metric.Lines.PP_Sharp;Metric.Lines.Fixme;Metric.Lines.Hack;Metric.Lines.Todo;Metric.Lines.Check;Metric.Lines.XXX;Metric.Lines.Debug;Metric.Lines.Routine.LOC;Metric.Lines.Routine.Code;Metric.Lines.Routine.Comment;Metric.Halstead.Total_Operators;Metric.Halstead.Total_Operands;Metric.Halstead.Different_Operators;Metric.Halstead.Different_Operands;Metric.Halstead.Length;Metric.Halstead.Vocabulary;Metric.Comment.Internal;Metric.Halstead.Vocabulary_Frequency;Metric.Halstead.Volume;Metric.Halstead.Difficulty;Metric.Halstead.Effort;Metric.Comment.Density;Metric.Lines.Class.LOC;Metric.Lines.Class.Code;Metric.Lines.Class.Comment;Metric.Number_Of_Methods;Metric.Number_Of_Members;Metric.Number_Of_Method_Templates;Metric.Number_Of_Namespaces;Metric.Number_Of_Classs;Metric.Number_Of_Class_Templates;Metric.Number_Of_Interfaces;Metric.Number_Of_Interface_Templates;Metric.Number_Of_Types;Metric.Number_Of_Constants;Metric.Number_Of_Descendants
N global:SEE;2085;9150;3356;10004;1245;1;6604;4323;4624;4118;3333;3447;23140;251873;1606;1986;1242;41277;4147;24385;12973;12745;86;28;0;2;28;0;0;4;0;0;0;0;43;1;27;19;0;296;24843;21712;1752;88544;49697;7308;14197;138241;21505;998;1235.354878;993932.680093;11450.090772;90672250.939631;613.117823;40721;24055;12809;2633;1785;8;30;282;5;9;3;37;90;4881
N global:SEE:CameraPaths;28;178;30;155;24;0;138;66;70;66;54;55;431;112;31;38;22;814;75;430;312;309;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;458;385;50;1586;928;134;272;2514;406;19;20.160315;17940.973556;214.055187;1440456.834961;10.294448;814;430;312;34;33;0;1;4;0;0;0;0;0;71
C global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!;17;108;22;78;16;0;82;37;37;37;31;32;272;61;15;18;12;469;48;242;179;179;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;287;224;42;929;574;45;135;1503;180;14;8.35;11260.255859;95.666664;1077231.125;7.04253;469;242;179;19;14;0;0;1;0;0;0;0;0;33
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Add(!0+6!UnityEngine:Vector3@C:/Program Files/Unity/Hub/Editor/2019.4.12f1/Editor/Data/Managed/UnityEngine/UnityEngine.CoreModule.dll,!101+16!Quaternion@C:!130+104!0+6!System:Single@C:!130+14! (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll)_s->!355+11!Void@C:!130+14! (!394+79!;3;2;2;1;0;0;2;1;1;1;1;1;3;1;0;0;1;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;18;12;11;8;30;19;0;1.578947;127.437813;8.25;1051.361938;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Save(!0+6!System:String@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^)_s->!102+11!Void@C:!125+95!;1;9;1;6;0;0;10;2;2;2;2;2;20;2;1;1;1;21;2;17;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;17;2;78;53;17;23;131;40;1;3.275;697.172546;19.586956;13655.488281;0.333333;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:FloatToString(!0+6!System:Single@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll)_s->!111+11!String@C:!134+95!^;1;2;1;1;1;0;1;1;1;1;1;1;3;1;0;0;1;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;16;9;11;8;25;19;0;1.315789;106.198181;6.1875;657.101257;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:GetEnumerator()_s->!0+6!System:Collections:IEnumerator@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^;0;1;1;1;1;0;1;1;1;1;1;1;3;1;0;0;1;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;10;4;8;3;14;11;0;1.272727;48.432045;5.333333;258.30426;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Draw()_s->!0+6!UnityEngine:GameObject@C:/Program Files/Unity/Hub/Editor/2019.4.12f1/Editor/Data/Managed/UnityEngine/UnityEngine.CoreModule.dll^;0;6;1;4;1;0;4;2;2;2;1;1;11;2;1;1;1;12;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;11;0;31;18;15;12;49;27;0;1.814815;232.989487;11.25;2621.131836;0.25;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:DrawLookOuts(!0+6!UnityEngine:GameObject@C:/Program Files/Unity/Hub/Editor/2019.4.12f1/Editor/Data/Managed/UnityEngine/UnityEngine.CoreModule.dll^)_s->!0+6!System:Void@C:!142+14! (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;1;27;1;5;0;0;14;3;3;3;4;4;59;3;1;2;1;60;6;29;25;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;29;25;120;83;25;44;203;69;4;2.942029;1240.030396;23.579546;29239.353516;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:CompareTo(!0+6!UnityEngine:Vector3@C:/Program Files/Unity/Hub/Editor/2019.4.12f1/Editor/Data/Managed/UnityEngine/UnityEngine.CoreModule.dll,!107+129!,!0+6!System:Single@C:!136+14! (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll)_s->!247+11!Int32@C:!136+14! (!286+79!;3;2;1;7;4;0;9;7;7;7;3;3;24;27;4;5;1;25;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;25;0;80;46;17;13;126;30;0;4.2;618.268188;30.076923;18595.605469;0.142857;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Aggregate(!0+6!System:Collections:Generic:List<!0+22!PathData@C:!38+51!>@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^)_s->!107+205!;1;11;1;17;3;0;9;5;5;5;3;4;43;8;3;3;1;44;2;35;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;35;7;109;60;24;19;169;43;4;3.930233;917.038757;37.894737;34750.941406;0.294118;0;0;0;2;0;0;0;0;0;0;0;0;0;1
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Aggregate(!0+6!System:Collections:Generic:List<!0+22!PathData@C:!38+51!>@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^)_s->!107+205!:__AnonymousMethod_0(!144+68!,!349+8!);2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:CompareTo(!0+22!PathData@C:!38+51!,!107+68!)_s->!0+6!System:Int32@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;2;2;2;5;2;0;2;2;2;2;2;2;14;2;1;1;1;15;0;10;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;10;5;37;25;14;11;62;25;2;2.48;287.919067;15.909091;4580.530762;0.6;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:DrawPath(!0+6!UnityEngine:GameObject@C:/Program Files/Unity/Hub/Editor/2019.4.12f1/Editor/Data/Managed/UnityEngine/UnityEngine.CoreModule.dll^)_s->!0+6!System:Void@C:!138+14! (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;1;16;1;15;0;0;7;3;3;3;2;2;28;4;2;2;1;29;5;22;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;22;2;81;54;23;32;135;55;2;2.454545;780.483582;19.40625;15146.259766;0.2;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Dump(!0+6!UnityEngine:Vector3@C:/Program Files/Unity/Hub/Editor/2019.4.12f1/Editor/Data/Managed/UnityEngine/UnityEngine.CoreModule.dll)_s->!0+6!System:String@C:!131+14! (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^;1;1;1;1;1;0;3;1;1;1;1;1;5;1;0;0;0;6;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;28;19;10;11;47;21;0;2.238095;206.438919;8.636364;1782.881592;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Dump()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;8;0;2;0;0;6;2;2;2;2;2;11;2;1;1;0;12;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;12;12;0;51;37;11;17;88;28;0;3.142857;423.047241;11.970589;5064.124512;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
p global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:Count;0;1;3;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;8;4;8;3;12;11;0;1.090909;41.51318;5.333333;221.403625;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:get_Count[Count]()_s->!0+6!System:Int32@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;1;3;1;1;0;0;1;1;1;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;8;4;8;3;12;11;0;1.090909;41.51318;5.333333;221.403625;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:ReadPath(!0+6!System:String@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^)_s->!0+88!;1;13;1;9;1;0;13;3;3;3;4;4;40;3;1;2;1;41;5;35;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;41;35;1;164;105;24;40;269;64;1;4.203125;1614;31.5;50841;0.222222;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:!13+10!(.cctor)()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:!13+10!(.ctor)()_s->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;2;1;1;0;0;0;1;1;1;1;1;3;1;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;7;3;7;3;10;10;0;1;33.21928;3.5;116.267479;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:!13+10!(.ctor)(!0+6!System:String@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll^)_s->!115+11!Void@C:!138+95!;1;2;1;1;0;0;0;1;1;1;1;1;3;1;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;10;4;10;2;14;12;0;1.166667;50.189472;10;501.894714;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
F global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:data;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
F global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:path;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:PathFileExtension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:DotPathFileExtension;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:lineWidth;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:timeFactor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:StartDefaultColor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:EndDefaultColor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:pathMaterial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:lookoutMaterial;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
O global:SEE:CameraPaths:!13+10!@C:/Users/raine/develop/SEECity/Temp/bin/Debug/SEE.dll^:!23+64!:delimiter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
