ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;CodeHistory.WasAdded;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0;0
streamex-root;0;0;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3242;313;0;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;2561;787;1;0;0
src\test\java\javax\util\streamex\StreamExTest.java;3886;320;0;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;1989;126;0;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2429;720;1;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;2856;164;0;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;1984;129;0;0;0
src\main\java\javax\util\streamex\StreamEx.java;2263;791;1;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;2077;479;1;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;3194;1129;1;0;0
src\main\java\javax\util\streamex\EntryStream.java;2315;533;1;0;0
src\main\java\javax\util\streamex\StreamManagingStrategy.java;297;49;0;1;0
