ID;Metric.Number_Of_Parameters;Metric.Number_Of_Statements;Metric.Number_Of_Returns;Metric.Number_Of_Gotos;Metric.Number_Of_Invocations;Metric.McCabe_Complexity;Metric.Extended_McCabe;Metric.Switch_Complexity;Metric.Maximum_Nesting;Metric.Maximum_Extended_Nesting;Metric.LOC;Metric.NPath;Metric.LogNPath_Floor;Metric.LogNPath_Ceiling;Metric.Comment.Preceding;Metric.Lines.LOC;Metric.Lines.Empty;Metric.Lines.Code;Metric.Lines.Comment;Metric.Lines.Only_Comment;Metric.Lines.Preproc;Metric.Lines.PP_If;Metric.Lines.PP_Elif;Metric.Lines.PP_Else;Metric.Lines.PP_Endif;Metric.Lines.PP_Define;Metric.Lines.PP_Undef;Metric.Lines.PP_Pragma;Metric.Lines.PP_Line;Metric.Lines.PP_Error;Metric.Lines.PP_Warning;Metric.Lines.PP_Sharp;Metric.Lines.Fixme;Metric.Lines.Hack;Metric.Lines.Todo;Metric.Lines.Check;Metric.Lines.XXX;Metric.Lines.Debug;Metric.Lines.Routine.LOC;Metric.Lines.Routine.Code;Metric.Lines.Routine.Comment;Metric.Halstead.Total_Operators;Metric.Halstead.Total_Operands;Metric.Halstead.Different_Operators;Metric.Halstead.Different_Operands;Metric.Halstead.Length;Metric.Halstead.Vocabulary;Metric.Comment.Internal;Metric.Number_Of_Called_Routines;Metric.Number_Of_Calling_Routines;Metric.Halstead.Vocabulary_Frequency;Metric.Halstead.Volume;Metric.Halstead.Difficulty;Metric.Halstead.Effort;Metric.Comment.Density;Metric.Lines.Class.LOC;Metric.Lines.Class.Code;Metric.Lines.Class.Comment;Metric.Number_Of_Methods;Metric.Number_Of_Members;Metric.Number_Of_Method_Templates;Metric.Number_Of_Namespaces;Metric.Number_Of_Classs;Metric.Number_Of_Class_Templates;Metric.Number_Of_Interfaces;Metric.Number_Of_Interface_Templates;Metric.Number_Of_Types;Metric.Number_Of_Constants;Metric.Number_Of_Descendants
N global;2006;5392;734;0;3652;2356;2502;2241;1877;1958;13019;33159;854;1064;739;24412;2094;13859;8661;8459;28;11;0;0;11;0;0;0;0;0;0;0;41;1;7;12;0;238;14093;12027;1508;48589;27152;4885;8392;75741;13277;852;5144;1802;754.179206;530912.521514;6956.571129;43822849.604311;429.462403;23929;13555;8533;1921;982;5;21;221;4;8;2;26;78;3267
N global:TinySpline;738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;419;71;0;1;22;0;0;0;2;3;517
C global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!;79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;53;9;0;0;1;0;0;0;0;0;62
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:Finalize()->!0+6!System:Void@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:getCPtr(!0+63!)->!0+6!System:Runtime:InteropServices:HandleRef@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:InterpolateCubic(!0+6!System:Collections:Generic:IList<!89+11!Double@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll>@C:!145+95!^,!129+7!UInt32@C:!145+95!)->!0+63!;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:InterpolateCatmullRom(!0+6!System:Collections:Generic:IList<!94+11!Double@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll>@C:!150+95!^,!134+7!UInt32@C:!150+95!,!132+111!,!94+249!,!468+10!132+111!)->!0+63!;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:InterpolateCatmullRom(!0+6!System:Collections:Generic:IList<!94+11!Double@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll>@C:!150+95!^,!134+7!UInt32@C:!150+95!,!132+111!,!94+249!,!468+8!)->!0+63!;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:InterpolateCatmullRom(!0+6!System:Collections:Generic:IList<!94+11!Double@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll>@C:!150+95!^,!134+7!UInt32@C:!150+95!,!132+111!,!94+249!)->!0+63!;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
R global:TinySpline:BSpline@F:/develop/SEE/Assets/TinySpline.dll^:!18+44!:InterpolateCatmullRom(!0+6!System:Collections:Generic:IList<!94+11!Double@C:/Program Files (x86)/Reference Assemblies/Microsoft/Framework/.NETFramework/v4.7.1/mscorlib.dll>@C:!150+95!^,!134+7!UInt32@C:!150+95!,!132+111!)->!0+63!;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
