Graph Nr; Lowest FPS; Average FPS; Highest FPS
1; 24; 248; 282
2; 28; 247; 266
3; 34; 242; 270
4; 28; 248; 280
5; 32; 247; 270
6; 29; 241; 285
7; 30; 248; 277
8; 29; 248; 271
9; 35; 248; 276
10; 28; 244; 286
11; 37; 249; 265
12; 28; 248; 268
13; 37; 249; 269
14; 30; 248; 277
15; 36; 248; 266
16; 27; 248; 290
17; 34; 249; 280
18; 27; 248; 264
19; 32; 249; 271
20; 29; 248; 281
21; 30; 249; 271
22; 28; 248; 279
23; 36; 249; 269
24; 27; 248; 279
25; 30; 242; 266
26; 23; 248; 289
27; 28; 248; 269
28; 21; 248; 263
29; 29; 248; 273
30; 29; 248; 273
31; 24; 248; 279
32; 24; 248; 264
33; 32; 248; 267
34; 18; 248; 267
35; 24; 248; 271
36; 23; 248; 275
37; 25; 248; 277
38; 17; 248; 265
39; 11; 241; 263
40; 19; 245; 279
41; 18; 247; 267
42; 13; 248; 263
43; 15; 248; 265
44; 14; 248; 263
45; 17; 248; 266
46; 19; 248; 265
47; 19; 248; 264
48; 13; 248; 282
49; 17; 248; 265
50; 17; 248; 266
51; 17; 248; 268
52; 18; 248; 264
53; 14; 248; 264
54; 17; 248; 268
55; 17; 248; 267
56; 11; 242; 263
57; 15; 248; 269
58; 18; 248; 268
59; 12; 247; 263
60; 11; 247; 263
61; 14; 248; 267
62; 15; 248; 264
63; 10; 246; 274
64; 11; 248; 268
65; 11; 247; 267
66; 10; 245; 268
67; 10; 244; 264
68; 12; 248; 274
69; 17; 248; 267
70; 8; 242; 263
71; 11; 243; 272
72; 13; 248; 270
73; 9; 242; 262
74; 9; 244; 268
75; 9; 240; 262
76; 10; 248; 268
77; 14; 242; 262
78; 10; 248; 268
79; 15; 246; 265
80; 10; 248; 279
81; 14; 246; 263
82; 10; 248; 267
83; 14; 245; 263
84; 10; 248; 263
85; 14; 242; 263
86; 10; 245; 266
87; 14; 243; 263
88; 9; 248; 266
89; 11; 230; 263
90; 9; 248; 264
91; 11; 223; 262
92; 7; 244; 265
93; 11; 247; 264
94; 11; 248; 263
95; 11; 246; 266
96; 10; 244; 265
97; 12; 248; 265
98; 12; 247; 267
99; 8; 237; 263
