ID;Metric.Complexity;Metric.FanIn;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0
src\main\java\javax\util\streamex;0;0;0
streamex-root;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3242;313;0
src\main\java\javax\util\streamex\LongStreamEx.java;2433;843;0
src\test\java\javax\util\streamex\StreamExTest.java;4267;336;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;2065;128;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2369;793;0
src\test\java\javax\util\streamex\IntStreamExTest.java;3153;176;0
src\test\java\javax\util\streamex\LongStreamExTest.java;1984;129;0
src\main\java\javax\util\streamex\StreamEx.java;2413;950;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1844;491;0
src\main\java\javax\util\streamex\IntStreamEx.java;3298;1251;0
src\test\java\javax\util\streamex\CustomPoolTest.java;2264;119;0
src\main\java\javax\util\streamex\EntryStream.java;2413;583;0
src\main\java\javax\util\streamex\StreamManagingStrategy.java;3448;597;0
