ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasModified;CodeHistory.WasAdded;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0;0
streamex-root;0;0;0;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;3352;327;1;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;2492;850;1;0;0
src\test\java\javax\util\streamex\StreamExTest.java;5787;418;1;0;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;2371;143;1;0;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;2442;818;1;0;0
src\main\java\javax\util\streamex\PairSpliterator.java;1384;258;0;1;0
src\test\java\javax\util\streamex\IntStreamExTest.java;3885;236;1;0;0
src\test\java\javax\util\streamex\LongStreamExTest.java;2180;139;1;0;0
src\main\java\javax\util\streamex\StreamEx.java;2539;983;1;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;2079;589;1;0;0
src\main\java\javax\util\streamex\StreamFactory.java;2994;547;0;0;0
src\main\java\javax\util\streamex\IntStreamEx.java;3472;1340;1;0;0
src\test\java\javax\util\streamex\CustomPoolTest.java;2583;141;1;0;0
src\main\java\javax\util\streamex\EntryStream.java;2463;609;1;0;0
