ID;Metric.Complexity;Metric.FanIn;CodeHistory.WasAdded;CodeHistory.WasModified;Metric.FanOut
src\test\java\javax\util\streamex;0;0;0;0;0
src\main\java\javax\util\streamex;0;0;0;0;0
streamex-root;0;0;0;0;0
src\main\java\javax\util\streamex\AbstractStreamEx.java;1490;272;1;0;0
src\test\java\javax\util\streamex\EntryStreamTest.java;1259;134;1;0;0
src\main\java\javax\util\streamex\LongStreamEx.java;1724;335;0;1;0
src\test\java\javax\util\streamex\StreamExTest.java;1191;107;0;1;0
src\main\java\javax\util\streamex\IntStreamEx.java;1814;358;0;1;0
src\test\java\javax\util\streamex\DoubleStreamExTest.java;339;36;0;1;0
src\main\java\javax\util\streamex\DoubleStreamEx.java;1621;317;0;0;0
src\main\java\javax\util\streamex\EntryStream.java;1480;180;1;0;0
src\test\java\javax\util\streamex\IntStreamExTest.java;735;63;0;1;0
src\test\java\javax\util\streamex\LongStreamExTest.java;525;51;0;1;0
src\main\java\javax\util\streamex\StreamEx.java;1640;208;0;1;0
