frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0361924,5.541369e-08,0.08189901,0.04101289,0.05559799,0.060388,0.07511471,0.05294702,0.06836073,0.05976376,0.0275423,0.03014786,0.07585944,0.01591441,0.03264982,0.08190076,0.0
1,0.001,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03614869,5.420953e-08,0.08194144,0.04099821,0.05557701,0.06000403,0.07511757,0.05304886,0.0685866,0.05963818,0.02751234,0.03012311,0.07605911,0.01603155,0.03315382,0.0818059,0.0
2,0.002,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0361133,5.271844e-08,0.08201746,0.04099374,0.05550295,0.05959251,0.0751169,0.05297971,0.06894258,0.05962042,0.02746025,0.03011597,0.07610963,0.0162022,0.03358863,0.08170102,0.0
3,0.003,0.98,1,0.0,0.0,0.0,0.0,0.0,0.0360799,5.124425e-08,0.08213464,0.04098484,0.05547175,0.05924883,0.0751162,0.05290385,0.06900315,0.05958482,0.02740466,0.03008905,0.0761714,0.01667802,0.03403718,0.08166572,0.0
4,0.004,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03603916,4.988244e-08,0.08221194,0.04097841,0.05546959,0.05896319,0.07511661,0.05275368,0.06875672,0.05952079,0.0273554,0.03001061,0.07610673,0.01674052,0.0343556,0.08167071,0.0
5,0.005,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03598459,4.853084e-08,0.08230498,0.04097803,0.05544123,0.05874705,0.0751189,0.05267922,0.0685946,0.05939727,0.02731326,0.03002154,0.07640986,0.01708521,0.0348218,0.08162888,0.0
6,0.006,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03594485,4.728527e-08,0.08235982,0.04098373,0.05536876,0.05857787,0.07512511,0.05264318,0.06860992,0.05938449,0.02726991,0.03000611,0.07622334,0.01731757,0.03512836,0.08159831,0.0
7,0.007,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03596699,4.633291e-08,0.08248876,0.0409993,0.0553193,0.05840341,0.07513437,0.05248559,0.06875434,0.05936453,0.02722503,0.02992871,0.07620825,0.01740935,0.03550596,0.08155928,0.0
8,0.008,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03595534,4.552615e-08,0.08251961,0.0410139,0.05524425,0.05811077,0.07514268,0.05242437,0.06887622,0.05933964,0.02717312,0.02981232,0.07635376,0.01761787,0.03569561,0.08148745,0.0
9,0.009,0.98,1,0.0,0.0,0.0,0.0,0.0,0.03596349,4.492968e-08,0.08256731,0.04104194,0.05514238,0.05786627,0.07515348,0.05244562,0.06922188,0.05939064,0.02712071,0.02967679,0.07660958,0.01771579,0.03580215,0.08141091,0.0
