frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r
0,0.0,0.98,1,0.102,0.176,0.035,-0.085,-0.053,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.13999999999999999,0.018,0.028000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.062
1,0.001,0.98,1,0.113,0.166,0.03,-0.086,-0.054,0.0,0.0,0.01,0.0,0.036,0.018,0.004,0.11000000000000001,0.012,0.016,0.0,0.0,0.0,0.004,0.008,0.0,0.088
2,0.002,0.98,1,0.12,0.149,0.031,-0.085,-0.055,0.0,0.0,0.01,0.0,0.034,0.018,0.004,0.088,0.006,0.014000000000000002,0.0,0.002,0.0,0.004,0.008,0.0,0.10400000000000001
3,0.003,0.98,1,0.114,0.155,0.03,-0.085,-0.054,0.0,0.0,0.008,0.0,0.032,0.0,0.0,0.066,0.004,0.02,0.0,0.002,0.0,0.0,0.0,0.0,0.134
4,0.004,0.98,1,0.112,0.165,0.032,-0.085,-0.054,0.0,0.006,0.006,0.0,0.024,0.0,0.0,0.066,0.0,0.022,0.0,0.006,0.0,0.0,0.0,0.0,0.10800000000000001
5,0.005,0.98,1,0.112,0.164,0.029,-0.085,-0.054,0.0,0.006,0.018,0.0,0.024,0.004,0.0,0.074,0.0,0.022,0.0,0.014000000000000002,0.0,0.008,0.0,0.0,0.088
6,0.006,0.98,1,0.121,0.167,0.031,-0.086,-0.054,0.0,0.01,0.018,0.0,0.016,0.004,0.0,0.1,0.0,0.026000000000000002,0.0,0.014000000000000002,0.0,0.008,0.0,0.0,0.066
7,0.007,0.98,1,0.108,0.149,0.032,-0.084,-0.055,0.0,0.01,0.018,0.0,0.014000000000000002,0.004,0.0,0.10400000000000001,0.0,0.018,0.0,0.016,0.0,0.018,0.0,0.0,0.041999999999999996
8,0.008,0.98,1,0.098,0.152,0.033,-0.084,-0.055,0.0,0.01,0.01,0.0,0.012,0.01,0.0,0.11200000000000002,0.0,0.022,0.0,0.016,0.0,0.014000000000000002,0.0,0.0,0.032
9,0.009,0.98,1,0.064,0.155,0.033,-0.08,-0.055,0.0,0.008,0.01,0.0,0.014000000000000002,0.01,0.0,0.10800000000000001,0.0,0.022,0.0,0.036,0.0,0.014000000000000002,0.0,0.0,0.01
