frame,timestamp,confidence,success,gaze_angle_x,gaze_angle_y,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26,AU45_r
0,0.0,1.0,1,0.102,0.176,0.035,-0.085,-0.053,0.46947444578030034,0.24463515093357532,0.030987773520556566,0.0010441355385444858,0.0008192696844055795,0.0038101951188180224,2.1006877874075913e-06,0.002961966674443118,0.05710145594072536,0.5155784442386342,0.013832826186208546,0.13744051037959207,0.016485878624810057,0.2719846590805069,0.0006456054475388332,0.0024000702709958905,0.0
1,0.001,1.0,1,0.113,0.166,0.03,-0.086,-0.054,0.3568655344606783,0.21104153799686592,0.024400410798527675,0.00252678595128462,0.0008250050358129079,0.005635615519734434,2.162023148508022e-06,0.0029424239443231006,0.0422772293719527,0.449393865661274,0.012642768466075698,0.11385977815248745,0.014122200700563109,0.26693703573670896,0.0005883695719676423,0.0021143022931915277,0.0
2,0.002,1.0,1,0.12,0.149,0.031,-0.085,-0.055,0.3561643817543856,0.21010477643942096,0.028025221688635707,0.0023166596919997275,0.0007627687507145177,0.004268581349290405,1.924809290611872e-06,0.0029658179957114577,0.03516928232284143,0.44970464219219397,0.014841974699725492,0.13424222711427675,0.011997109276933832,0.24642147121710253,0.0006136977251990789,0.0025665874537119057,0.0
3,0.003,1.0,1,0.114,0.155,0.03,-0.085,-0.054,0.41435337189278804,0.23599729782511428,0.03477945203928467,0.0030445046485496727,0.0012963653581611924,0.007706857368064208,3.853680850067395e-06,0.0041912619592510015,0.04685940274389402,0.3955604415895797,0.01227995778013018,0.10412223902003866,0.017841082415145936,0.2030354975281171,0.0008562463631909666,0.002358866364484587,0.0
4,0.004,1.0,1,0.112,0.165,0.032,-0.085,-0.054,0.3853847641043962,0.2266975102642111,0.03084013383843823,0.002183128841328397,0.0008615491820457889,0.0046226323072896605,1.69773188509015e-06,0.00268138136581061,0.03858956434207151,0.45009954792000634,0.012196251862776316,0.11641849285029852,0.012744552087247313,0.2069918395173826,0.0007070560294312931,0.0025437019258308514,0.0
5,0.005,1.0,1,0.112,0.164,0.029,-0.085,-0.054,0.41515517792725504,0.24899646692213703,0.028431879670143347,0.0036867480870007383,0.0008214012268936259,0.005045304603929972,2.0513552092922035e-06,0.003490263039573785,0.03974478959772754,0.37337476498108335,0.015903725542778992,0.10098803415585433,0.017269688746218332,0.21403258001627912,0.000903537257363119,0.002308324377597638,0.0
6,0.006,1.0,1,0.121,0.167,0.031,-0.086,-0.054,0.43231588043091757,0.23751023756583164,0.03272825591332993,0.002904413236581326,0.0013158367989044252,0.0072636105504749115,2.7290384359691597e-06,0.0034154912944256047,0.04469073516454378,0.38430923773480935,0.015811411788535686,0.11325672168856334,0.015603615907838434,0.22563362452990782,0.0009071905608954578,0.00272894738711258,0.0
7,0.007,1.0,1,0.108,0.149,0.032,-0.084,-0.055,0.47690250008783547,0.2598256619400637,0.047213329504866994,0.004588423042987743,0.0016898007267515036,0.009008433160293577,4.6638127790016805e-06,0.004743706088140343,0.04294596277589803,0.34827728829250115,0.011291744579576355,0.08945869777161698,0.020543553581598532,0.16354283705217068,0.0018400854848040786,0.0037001253770244167,0.0
8,0.008,1.0,1,0.098,0.152,0.033,-0.084,-0.055,0.4319246631307326,0.24019085094206583,0.035302333821648574,0.0043702543224629345,0.001054566371318917,0.00532903457720718,2.496327398820613e-06,0.0034160182883337695,0.03660082585250816,0.3294904382230936,0.012138835547404265,0.09468473193892275,0.016346397272611328,0.19519219709418392,0.0009969644039585228,0.0024758187641309133,0.0
9,0.009,1.0,1,0.064,0.155,0.033,-0.08,-0.055,0.46644143472153893,0.25345144019861354,0.03557784124644083,0.006101535784744623,0.0007889478734791522,0.004055911445416241,1.7995437568542965e-06,0.003307912436458414,0.030128805103645503,0.31522916639244597,0.010373123688492285,0.08553254137737329,0.014021154985947668,0.15919477937312207,0.000811214588388749,0.001802986026270388,0.0
10,0.01,1.0,1,0.054,0.135,0.031,-0.081,-0.055,0.48606361473202186,0.2553275835780205,0.03713089536298382,0.004467953052125986,0.0009526331258039635,0.004951797151100047,1.966446784097002e-06,0.0034234496681790493,0.03411297792023401,0.34223013739661157,0.012281682491416522,0.09091257312971779,0.013944564860512028,0.20624559800639258,0.0006516105819576908,0.0016935843537650335,0.0
11,0.011,1.0,1,0.062,0.134,0.031,-0.083,-0.055,0.4526316178619801,0.2403820746596984,0.04234300668983159,0.00577989538748047,0.001024374424956508,0.005143208464399815,2.432375225209555e-06,0.003904159566351229,0.030676944717358243,0.3000550088097196,0.009583245750939176,0.08941014639668496,0.015744991792907972,0.15784015725976627,0.0010346080502015341,0.0020890374183815774,0.0
12,0.012,1.0,1,0.065,0.138,0.031,-0.082,-0.056,0.3731351144245244,0.233791795056575,0.027511593148449535,0.006431711809038649,0.0007242589250734304,0.004000996376300816,1.4389007491972068e-06,0.003330603385782381,0.03402651241020265,0.3659589137682386,0.014969490298869365,0.10396886496324713,0.01642771250993674,0.22411569275688237,0.000673499281222743,0.001814172270045601,0.0
13,0.013,1.0,1,0.073,0.129,0.028,-0.082,-0.057,0.5113561287382623,0.28716955730286153,0.04090541912412256,0.007038478355914605,0.0009842635996140667,0.00472230419909417,1.4751848493494513e-06,0.00299782925978131,0.03883656109309372,0.361696274213991,0.011319579286636412,0.09667611358332334,0.016404470719433732,0.1777279762057726,0.001168917743654708,0.0027574155966233337,0.0
14,0.014,1.0,1,0.068,0.127,0.029,-0.081,-0.057,0.47655838952635,0.2443237342581048,0.04153674869014296,0.003875272007821805,0.0010500737033361787,0.004871524294281993,2.050526531230765e-06,0.0030175092879791204,0.033578859158075444,0.34398057440347435,0.012317642829363781,0.10528379065445655,0.013555758198104695,0.20507775870948816,0.0007259761651471831,0.0019298528279550016,0.0
15,0.015,1.0,1,0.097,0.127,0.03,-0.082,-0.058,0.42523352350473526,0.23059609572903292,0.04560607822268454,0.0047944608911245174,0.0006831702654400342,0.004851435276142682,1.724980483642646e-06,0.002284898780585945,0.02190904889986178,0.31107371640177445,0.011724609842917254,0.10142333293326186,0.010974907365304045,0.21126961928097382,0.0004961523513275683,0.0015035507551881227,0.0
